(('en el caso de', 1.0), 86, (1456, 1237), None, 'hsl(0, 100%, 30%)')
(('va a votar la', 0.4517611224852463), 13, (2343, 1270), None, 'hsl(216, 100%, 30%)')
(('departamento nacional del trabajo', 0.41129368395089644), 8, (2310, 1338), None, 'hsl(219, 100%, 30%)')
(('del ministerio de economía', 0.36133969898121798), 7, (2490, 1258), None, 'hsl(223, 100%, 30%)')
(('va a votar el', 0.34250154174758707), 7, (2492, 1379), None, 'hsl(224, 100%, 30%)')
(('de ciencias jurídicas y', 0.30484591309308529), 7, (2436, 1456), 2, 'hsl(227, 100%, 30%)')
(('tres o cuatro días', 0.28025513119958156), 7, (2500, 1161), None, 'hsl(229, 100%, 30%)')
(('no se va a', 0.26804795592217401), 7, (2345, 1197), None, 'hsl(230, 100%, 30%)')
(('dos o tres meses', 0.2678787123980696), 7, (2352, 1166), 2, 'hsl(230, 100%, 30%)')
(('reformas a la ley', 0.26319261715311931), 7, (2345, 1485), 2, 'hsl(230, 100%, 30%)')
(('banco nacional de crédito', 0.26100165860480412), 7, (2355, 1398), None, 'hsl(230, 100%, 30%)')
(('presidente de la federación', 0.26019871065129968), 6, (2542, 1271), None, 'hsl(230, 100%, 30%)')
(('fecha en madrid a', 0.25953277988330664), 6, (2352, 1154), 2, 'hsl(230, 100%, 30%)')
(('más que a los', 0.25731176413196938), 6, (2444, 1383), 2, 'hsl(230, 100%, 30%)')
(('más o menos el', 0.25720438530879297), 6, (2491, 1238), 2, 'hsl(230, 100%, 30%)')
(('si es o no', 0.25530830994543185), 6, (2377, 1465), 2, 'hsl(231, 100%, 30%)')
(('mil novecientos veinte y', 0.2492961391699168), 5, (2565, 1401), None, 'hsl(231, 100%, 30%)')
(('lo que voy a', 0.24329847491011575), 5, (2367, 1452), 2, 'hsl(232, 100%, 30%)')
(('la sanción del siguiente', 0.2426012526415644), 5, (2349, 1173), 2, 'hsl(232, 100%, 30%)')
(('ha llegado a un', 0.23132093614684499), 5, (2506, 1181), None, 'hsl(232, 100%, 30%)')
(('dos o más personas', 0.22575889070066879), 5, (2493, 1225), 2, 'hsl(233, 100%, 30%)')
(('manos a la obra', 0.22439718508629514), 5, (2288, 1243), None, 'hsl(233, 100%, 30%)')
(('que no va a', 0.22234415091678916), 5, (2270, 1206), 2, 'hsl(233, 100%, 30%)')
(('que se aplica a', 0.22027446528499159), 5, (2441, 1116), None, 'hsl(233, 100%, 30%)')
(('el señor diputado no', 0.21823785937403875), 5, (2316, 1213), None, 'hsl(233, 100%, 30%)')
(('la guerra a muerte', 0.21735525142371678), 5, (2368, 1146), 2, 'hsl(233, 100%, 30%)')
(('del ministerio del trabajo', 0.21365905381358485), 5, (2518, 1420), None, 'hsl(234, 100%, 30%)')
(('la federación de estudiantes', 0.2111704758320711), 5, (2356, 1305), None, 'hsl(234, 100%, 30%)')
(('al gobierno y a', 0.20857031603988957), 5, (2445, 1261), None, 'hsl(234, 100%, 30%)')
(('traición a la patria', 0.20469501302515636), 5, (2362, 1180), 2, 'hsl(234, 100%, 30%)')
(('oportunidad para reiterar a', 0.20274680691787123), 5, (2483, 1243), 2, 'hsl(235, 100%, 30%)')
(('una o dos veces', 0.20198221291182394), 5, (2491, 1490), 2, 'hsl(235, 100%, 30%)')
(('se parece a la', 0.19917781535029658), 5, (2485, 1447), 2, 'hsl(235, 100%, 30%)')
(('se va a hacer', 0.19742875770195292), 5, (2483, 1475), 2, 'hsl(235, 100%, 30%)')
(('de la acción católica', 0.19624571393013487), 5, (2482, 1263), None, 'hsl(235, 100%, 30%)')
(('la patria y a', 0.19569246328666878), 5, (2298, 1328), None, 'hsl(235, 100%, 30%)')
(('levantó la sesión a', 0.19565802194137524), 5, (2517, 1154), None, 'hsl(235, 100%, 30%)')
(('bien a las claras', 0.19490841509712997), 5, (2448, 1408), None, 'hsl(235, 100%, 30%)')
(('se pregunta si se', 0.19471196899673016), 5, (2304, 1324), 2, 'hsl(235, 100%, 30%)')
(('caja de jubilaciones y', 0.19454033671098442), 5, (2268, 1185), 2, 'hsl(235, 100%, 30%)')
(('dar lugar a una', 0.19402354209434153), 5, (2499, 1121), None, 'hsl(235, 100%, 30%)')
(('por accidente del trabajo', 0.19400172790953735), 5, (2398, 1375), None, 'hsl(235, 100%, 30%)')
(('proyecto del señor diputado', 0.19306933416368618), 5, (2552, 1304), None, 'hsl(235, 100%, 30%)')
(('común a todas las', 0.19098213378445758), 5, (2521, 1170), None, 'hsl(235, 100%, 30%)')
(('diputado por santa fe', 0.18919158281879636), 5, (2344, 1407), None, 'hsl(236, 100%, 30%)')
(('adolfo de la huerta', 0.18856608986714146), 5, (2447, 1175), None, 'hsl(236, 100%, 30%)')
(('me voy a permitir', 0.18768089492191573), 5, (2292, 1246), None, 'hsl(236, 100%, 30%)')
(('va a votar en', 0.18743837602903715), 5, (2292, 1177), 2, 'hsl(236, 100%, 30%)')
(('teoría de la relatividad', 0.1862361595475383), 5, (2437, 1400), None, 'hsl(236, 100%, 30%)')
(('que se dirige a', 0.18264324509182778), 5, (2365, 1457), 2, 'hsl(236, 100%, 30%)')
(('uno o más de', 0.18191637688551868), 5, (2316, 1467), 2, 'hsl(236, 100%, 30%)')
(('no se atrevía a', 0.18110982796410072), 5, (2364, 1472), 2, 'hsl(236, 100%, 30%)')
(('los que estén de', 0.18004225741894189), 5, (2257, 1191), 2, 'hsl(236, 100%, 30%)')
(('imprenta de la universidad', 0.17834521344379711), 4, (2542, 1401), None, 'hsl(236, 100%, 30%)')
(('nos vemos obligados a', 0.17781573754423036), 4, (2357, 1214), None, 'hsl(236, 100%, 30%)')
(('nacional de crédito agrícola', 0.17742972215014083), 4, (2361, 1476), 2, 'hsl(236, 100%, 30%)')
(('necesario a su cumplimiento', 0.17718360805973696), 4, (2346, 1159), 2, 'hsl(236, 100%, 30%)')
(('todos los días a', 0.17627249530212749), 4, (2278, 1247), None, 'hsl(236, 100%, 30%)')
(('será sometido a la', 0.17606544537125021), 4, (2399, 1280), 2, 'hsl(236, 100%, 30%)')
(('petróleo y sus derivados', 0.17511906233316754), 4, (2255, 1198), 2, 'hsl(237, 100%, 30%)')
(('con el señor diputado', 0.17506582011147603), 4, (2494, 1218), 2, 'hsl(237, 100%, 30%)')
(('permanente de justicia internacional', 0.17445332583205836), 4, (2485, 1363), 2, 'hsl(237, 100%, 30%)')
(('cosas a la vez', 0.17344083348883449), 4, (2501, 1408), 2, 'hsl(237, 100%, 30%)')
(('respeto a la ley', 0.17271975220690539), 4, (2403, 1396), None, 'hsl(237, 100%, 30%)')
(('de impuesto a la', 0.17249150779317277), 4, (2380, 1193), 2, 'hsl(237, 100%, 30%)')
(('a la exportación de', 0.17116884944156832), 4, (2265, 1219), 2, 'hsl(237, 100%, 30%)')
(('disponga lo necesario a', 0.1709810158252312), 4, (2395, 1293), None, 'hsl(237, 100%, 30%)')
(('llegado a un acuerdo', 0.16839810251666582), 4, (2259, 1211), 2, 'hsl(237, 100%, 30%)')
(('a la conferencia de', 0.16779751514731528), 4, (2447, 1310), None, 'hsl(237, 100%, 30%)')
(('de hierro o acero', 0.16771438370367331), 4, (2483, 1438), 2, 'hsl(237, 100%, 30%)')
(('poder de compra de', 0.16644293149201614), 4, (2488, 1479), 2, 'hsl(237, 100%, 30%)')
(('se ha vuelto a', 0.16338928568372288), 4, (2483, 1310), None, 'hsl(237, 100%, 30%)')
(('por el señor representante', 0.16282976574757468), 4, (2407, 1331), None, 'hsl(237, 100%, 30%)')
(('del amor a la', 0.16129832589757628), 4, (2270, 1235), 2, 'hsl(238, 100%, 30%)')
(('a votar la moción', 0.15966604744763183), 4, (2404, 1426), None, 'hsl(238, 100%, 30%)')
(('era a la vez', 0.15952556004272075), 4, (2494, 1463), 2, 'hsl(238, 100%, 30%)')
(('en jurisdicción del municipio', 0.15909797873368522), 4, (2494, 1231), 2, 'hsl(238, 100%, 30%)')
(('la que va a', 0.15743918786068034), 4, (2319, 1391), None, 'hsl(238, 100%, 30%)')
(('se ha hecho a', 0.15715829288808394), 4, (2452, 1426), None, 'hsl(238, 100%, 30%)')
(('uno o dos días', 0.15714185999012789), 4, (2430, 1477), 2, 'hsl(238, 100%, 30%)')
(('superiores a los que', 0.15688163525458421), 4, (2395, 1230), 2, 'hsl(238, 100%, 30%)')
(('caja nacional de ahorro', 0.15688065877351412), 4, (2509, 1141), None, 'hsl(238, 100%, 30%)')
(('poner a disposición de', 0.15621420649118706), 4, (2373, 1139), 2, 'hsl(238, 100%, 30%)')
(('yo no voy a', 0.15486791200300773), 4, (2268, 1225), 2, 'hsl(238, 100%, 30%)')
(('y sobre todo a', 0.15425280734125418), 4, (2404, 1288), None, 'hsl(238, 100%, 30%)')
(('más o menos lo', 0.15381754507869622), 4, (2498, 1414), 2, 'hsl(238, 100%, 30%)')
(('a la cátedra de', 0.15365873101198291), 4, (2489, 1469), 2, 'hsl(238, 100%, 30%)')
(('del siguiente proyecto de', 0.15320893525389773), 4, (2346, 1361), None, 'hsl(238, 100%, 30%)')
(('tenido a bien expedir', 0.1515524884670951), 4, (2481, 1422), 2, 'hsl(238, 100%, 30%)')
(('de mil novecientos veinticinco', 0.14882706573733814), 4, (2441, 1187), None, 'hsl(238, 100%, 30%)')
(('el ministro de trabajo', 0.14826261828135182), 4, (2401, 1236), None, 'hsl(239, 100%, 30%)')
(('ley de gastos públicos', 0.14750955384796749), 4, (2303, 1347), None, 'hsl(239, 100%, 30%)')
(('de león de caracas', 0.14712463794373701), 4, (2311, 1272), None, 'hsl(239, 100%, 30%)')
(('mayor o menor de', 0.1459530242477643), 4, (2480, 1431), 2, 'hsl(239, 100%, 30%)')
(('de palabra o por', 0.14513638073922519), 4, (2521, 1248), 2, 'hsl(239, 100%, 30%)')
(('del tratado de versalles', 0.14486347855742457), 4, (2365, 1492), 2, 'hsl(239, 100%, 30%)')
(('de mil novecientos treinta', 1.0), 34, (2244, 757), None, 'hsl(137, 100%, 30%)')
(('sociedad de las naciones', 0.83390266097700771), 29, (2270, 824), None, 'hsl(156, 100%, 30%)')
(('fallamos que debemos declarar', 0.65366993878541635), 23, (2293, 810), None, 'hsl(176, 100%, 30%)')
(('secretaría de educación pública', 0.52922749424890136), 20, (2212, 801), None, 'hsl(190, 100%, 30%)')
(('impuesto a la renta', 0.44163232217470427), 18, (2317, 1065), 2, 'hsl(200, 100%, 30%)')
(('la república de panamá', 0.44066362320956814), 18, (2335, 849), None, 'hsl(200, 100%, 30%)')
(('de conciliación y arbitraje', 0.38785914895761969), 17, (2179, 852), None, 'hsl(206, 100%, 30%)')
(('la zona del canal', 0.36847250367324241), 17, (2354, 907), None, 'hsl(208, 100%, 30%)')
(('la unión cívica radical', 0.36303079863668825), 17, (2369, 894), None, 'hsl(209, 100%, 30%)')
(('de depósitos y consignaciones', 0.3487528547440179), 12, (2317, 882), None, 'hsl(210, 100%, 30%)')
(('oficina internacional del trabajo', 0.31552527772605987), 11, (2162, 859), None, 'hsl(214, 100%, 30%)')
(('la sociedad de naciones', 0.3145598404155473), 11, (2332, 1086), 2, 'hsl(214, 100%, 30%)')
(('de presupuesto y hacienda', 0.28702965307729428), 11, (2144, 857), None, 'hsl(217, 100%, 30%)')
(('decreto con fuerza de', 0.27987074788083532), 11, (2314, 1097), 2, 'hsl(218, 100%, 30%)')
(('a nivel de la', 0.27357037774158821), 11, (2407, 990), None, 'hsl(219, 100%, 30%)')
(('al poder ejecutivo a', 0.27031213828235978), 11, (2227, 851), None, 'hsl(219, 100%, 30%)')
(('del impuesto a la', 0.26553036303562522), 11, (2420, 967), None, 'hsl(220, 100%, 30%)')
(('es más o menos', 0.26227039254898477), 11, (2385, 949), None, 'hsl(220, 100%, 30%)')
(('de sanidad y asistencia', 0.26119103241716179), 11, (2193, 837), None, 'hsl(220, 100%, 30%)')
(('la oficina internacional del', 0.25505383564952877), 11, (2233, 973), None, 'hsl(221, 100%, 30%)')
(('del código del trabajo', 0.24984834324438299), 10, (2197, 959), None, 'hsl(221, 100%, 30%)')
(('de la academia colombiana', 0.23826170839158992), 10, (2394, 932), None, 'hsl(223, 100%, 30%)')
(('del mismo al mismo', 0.23640814012546432), 10, (2127, 883), None, 'hsl(223, 100%, 30%)')
(('la academia colombiana de', 0.23031463719700801), 8, (2240, 858), None, 'hsl(224, 100%, 30%)')
(('protección a la infancia', 0.22964824722968835), 8, (2320, 1106), 2, 'hsl(224, 100%, 30%)')
(('de exploración y explotación', 0.21898491856642591), 7, (2431, 972), None, 'hsl(225, 100%, 30%)')
(('de ir a la', 0.21670990064496976), 7, (2327, 1058), 2, 'hsl(225, 100%, 30%)')
(('la federación nacional de', 0.20382282553957512), 7, (2115, 886), None, 'hsl(227, 100%, 30%)')
(('de la guerra mundial', 0.19949482104241498), 7, (2201, 802), None, 'hsl(227, 100%, 30%)')
(('de la industria textil', 0.19125815735807458), 7, (2316, 1125), 2, 'hsl(228, 100%, 30%)')
(('los valles de aragua', 0.1900144415651058), 7, (2442, 990), None, 'hsl(228, 100%, 30%)')
(('entre dos o más', 0.18903146338126733), 7, (2324, 825), None, 'hsl(228, 100%, 30%)')
(('más o menos largo', 0.18783383901957926), 7, (2229, 797), 2, 'hsl(228, 100%, 30%)')
(('la caja de jubilaciones', 0.18688584609226305), 7, (2318, 1114), 2, 'hsl(229, 100%, 30%)')
(('chilena de historia y', 0.18232227251131991), 6, (2330, 977), None, 'hsl(229, 100%, 30%)')
(('de ley en revisión', 0.17749444957478414), 6, (2317, 1131), 2, 'hsl(230, 100%, 30%)')
(('más o menos la', 0.17693798865177762), 5, (2107, 911), None, 'hsl(230, 100%, 30%)')
(('la ley del trabajo', 0.1757892033860704), 5, (2270, 787), 2, 'hsl(230, 100%, 30%)')
(('dentro de las normas', 0.17318866558088242), 5, (2386, 1079), 2, 'hsl(230, 100%, 30%)')
(('de la nación o', 0.17285241801098794), 5, (2334, 1051), 2, 'hsl(230, 100%, 30%)')
(('a la patria y', 0.16813289494450814), 5, (2315, 1142), 2, 'hsl(231, 100%, 30%)')
(('los dos o tres', 0.16772811861926967), 5, (2355, 887), 2, 'hsl(231, 100%, 30%)')
(('dirección general de sanidad', 0.16584737014174583), 4, (2350, 912), None, 'hsl(231, 100%, 30%)')
(('la suprema corte resolvió', 0.16381735905860945), 4, (2332, 1079), 2, 'hsl(231, 100%, 30%)')
(('del orden del día', 0.15846787352678854), 4, (2465, 1026), None, 'hsl(232, 100%, 30%)')
(('procedió a practicar la', 0.15385143495235606), 4, (2152, 974), None, 'hsl(232, 100%, 30%)')
(('del ministerio de educación', 1.0), 24, (2055, 594), None, 'hsl(161, 100%, 30%)')
(('la secretaría de educación', 0.80113690950076732), 21, (1929, 546), None, 'hsl(179, 100%, 30%)')
(('de mil novecientos cuarenta', 0.78011172667598216), 20, (2020, 570), None, 'hsl(181, 100%, 30%)')
(('el banco central de', 0.64619649081468511), 18, (1947, 532), None, 'hsl(192, 100%, 30%)')
(('de geografía e historia', 0.5990583731483724), 17, (1969, 550), None, 'hsl(197, 100%, 30%)')
(('ministerio de educación nacional', 0.51654025561035866), 16, (2082, 619), None, 'hsl(204, 100%, 30%)')
(('trabajo y previsión social', 0.48938437124848638), 16, (1995, 625), None, 'hsl(206, 100%, 30%)')
(('instituto nacional de previsión', 0.48340447096601519), 16, (2107, 628), None, 'hsl(207, 100%, 30%)')
(('ministerio de salud pública', 0.46418984509262545), 15, (1903, 580), None, 'hsl(208, 100%, 30%)')
(('de trabajo y previsión', 0.45012559092938942), 15, (1881, 623), None, 'hsl(210, 100%, 30%)')
(("la ley n '", 0.42139577070625739), 15, (2125, 775), None, 'hsl(212, 100%, 30%)')
(('de salud pública y', 0.40044881361151852), 15, (2124, 728), 2, 'hsl(214, 100%, 30%)')
(('banco central de la', 0.38762887076983676), 14, (1863, 632), None, 'hsl(215, 100%, 30%)')
(('la organización internacional del', 0.37528588587797179), 14, (2036, 655), None, 'hsl(216, 100%, 30%)')
(('contrariamente a lo que', 0.36990037025475653), 11, (1945, 694), None, 'hsl(217, 100%, 30%)')
(('de izquierda a derecha', 0.35446225367912954), 11, (2120, 744), 2, 'hsl(218, 100%, 30%)')
(('de la organización internacional', 0.34964143257307362), 9, (1915, 569), None, 'hsl(219, 100%, 30%)')
(('de la policía nacional', 0.34301278725447976), 9, (2142, 710), 2, 'hsl(219, 100%, 30%)')
(('en el banco central', 0.31971175281760594), 9, (2145, 761), 2, 'hsl(221, 100%, 30%)')
(('más o menos a', 0.30334701100505229), 9, (2137, 694), 2, 'hsl(223, 100%, 30%)')
(('de la contraloría general', 0.29596971069921318), 9, (1981, 737), None, 'hsl(223, 100%, 30%)')
(('obras sanitarias de la', 0.26619775662997813), 8, (2008, 557), None, 'hsl(226, 100%, 30%)')
(('sanitarias de la nación', 0.25568246515477094), 8, (1961, 746), None, 'hsl(227, 100%, 30%)')
(('del impuesto a los', 0.25206897550263629), 8, (2132, 681), 2, 'hsl(227, 100%, 30%)')
(('dada en bogotá a', 0.2418507456917805), 8, (2037, 589), None, 'hsl(228, 100%, 30%)')
(('de un extremo a', 0.22953281781581916), 8, (1848, 705), None, 'hsl(229, 100%, 30%)')
(('a base de la', 0.21657911275307959), 8, (2156, 781), 2, 'hsl(230, 100%, 30%)')
(('de los ferrocarriles nacionales', 0.21461484193363434), 7, (2097, 796), None, 'hsl(231, 100%, 30%)')
(('boletín del instituto de', 0.21401331012416935), 7, (1972, 743), None, 'hsl(231, 100%, 30%)')
(('que se extiende a', 0.21221730777489475), 7, (2140, 768), 2, 'hsl(231, 100%, 30%)')
(('muy semejante a la', 0.20642813460545864), 7, (2097, 691), None, 'hsl(231, 100%, 30%)')
(('de la sociedad bolivariana', 0.20556753660933036), 7, (2120, 752), 2, 'hsl(231, 100%, 30%)')
(('la universidad nacional del', 0.2016317398612712), 6, (1983, 646), None, 'hsl(232, 100%, 30%)')
(('contrato colectivo de trabajo', 0.2015461218215413), 6, (2013, 712), None, 'hsl(232, 100%, 30%)')
(('su vida a la', 0.19229819157689132), 6, (2143, 813), 2, 'hsl(233, 100%, 30%)')
(('universidad nacional del litoral', 0.18858836340141283), 6, (2047, 708), None, 'hsl(233, 100%, 30%)')
(('contralor general de la', 0.18801895043342892), 6, (2126, 672), 2, 'hsl(233, 100%, 30%)')
(('del derecho del trabajo', 0.18657932970930979), 6, (2121, 719), 2, 'hsl(233, 100%, 30%)')
(('semejante a la del', 0.18152415338254485), 6, (2146, 788), 2, 'hsl(233, 100%, 30%)')
(('los hombres y a', 0.18123020281674929), 6, (2120, 658), 2, 'hsl(233, 100%, 30%)')
(('la sociedad bolivariana de', 0.17862672385525877), 6, (1895, 569), None, 'hsl(234, 100%, 30%)')
(('que día a día', 0.17858475431485155), 6, (2095, 616), None, 'hsl(234, 100%, 30%)')
(('la caja de previsión', 0.1772787243431683), 6, (1837, 699), None, 'hsl(234, 100%, 30%)')
(('de salud pública de', 0.17431670245464917), 6, (1915, 737), None, 'hsl(234, 100%, 30%)')
(('de economía y hacienda', 0.17047055067225719), 6, (1986, 573), None, 'hsl(234, 100%, 30%)')
(('ferrocarriles nacionales de méxico', 0.16926129216735986), 6, (2120, 702), 2, 'hsl(235, 100%, 30%)')
(('acuerdo a la ley', 0.16854654558903301), 6, (2120, 688), 2, 'hsl(235, 100%, 30%)')
(('no se limitó a', 0.16553075026755826), 6, (1874, 667), None, 'hsl(235, 100%, 30%)')
(('que se oponían a', 0.16397983422414605), 6, (1982, 840), 2, 'hsl(235, 100%, 30%)')
(('la intensificación de la', 0.16368167940843162), 5, (1912, 513), None, 'hsl(235, 100%, 30%)')
(('al banco central de', 0.16168317111697439), 5, (1920, 516), None, 'hsl(235, 100%, 30%)')
(('muy parecida a la', 0.16046433288163903), 5, (1855, 725), None, 'hsl(235, 100%, 30%)')
(('años anteriores a la', 0.15973057968637966), 5, (2138, 794), 2, 'hsl(235, 100%, 30%)')
(('del instituto panamericano de', 0.1570987419091659), 4, (2047, 607), None, 'hsl(236, 100%, 30%)')
(('directivo de la unión', 0.1565020258414129), 4, (1989, 674), None, 'hsl(236, 100%, 30%)')
(('nos referimos a los', 0.15625142855535334), 4, (2121, 650), 2, 'hsl(236, 100%, 30%)')
(('que llega a la', 0.15604632039014202), 4, (2123, 624), None, 'hsl(236, 100%, 30%)')
(('del instituto internacional de', 0.15495346281263878), 4, (2131, 665), 2, 'hsl(236, 100%, 30%)')
(('todas las características de', 0.15491523140939817), 4, (2137, 775), 2, 'hsl(236, 100%, 30%)')
(('y poco a poco', 0.15397512618503051), 4, (2074, 887), None, 'hsl(236, 100%, 30%)')
(('de minas y petróleos', 0.15346593260535124), 4, (2053, 821), None, 'hsl(236, 100%, 30%)')
(('archivo histórico de la', 0.15269680416716858), 4, (2078, 792), None, 'hsl(236, 100%, 30%)')
(('con el aporte de', 0.15200452026614658), 4, (2105, 860), 2, 'hsl(236, 100%, 30%)')
(('la caja de seguro', 0.15162148188446181), 4, (1921, 768), None, 'hsl(236, 100%, 30%)')
(('de los impuestos a', 0.15135931268034478), 4, (1896, 757), None, 'hsl(236, 100%, 30%)')
(('y más o menos', 0.15009213270232166), 4, (1991, 821), 2, 'hsl(236, 100%, 30%)')
(('de oeste a este', 0.14901195251716762), 4, (2196, 721), 2, 'hsl(236, 100%, 30%)')
(('muy inferior a la', 0.14782565240687762), 4, (2053, 749), 2, 'hsl(236, 100%, 30%)')
(('sin lugar a duda', 0.14675023148216709), 4, (1962, 688), None, 'hsl(237, 100%, 30%)')
(('dan la impresión de', 0.14606272257612529), 4, (1850, 667), None, 'hsl(237, 100%, 30%)')
(('están a cargo de', 0.14441914009436185), 4, (2153, 802), 2, 'hsl(237, 100%, 30%)')
(('la caja de pensiones', 0.14372888592389979), 4, (2002, 831), 2, 'hsl(237, 100%, 30%)')
(('un poco a la', 0.14368365794399626), 4, (1958, 732), 2, 'hsl(237, 100%, 30%)')
(('caja nacional de ahorros', 0.14359792393569124), 4, (1874, 600), None, 'hsl(237, 100%, 30%)')
(('caja de previsión de', 0.14238451589265308), 4, (1929, 526), 2, 'hsl(237, 100%, 30%)')
(('del código fiscal de', 0.14003739214416699), 4, (2130, 824), 2, 'hsl(237, 100%, 30%)')
(('la comisión nacional agraria', 0.13953853941163025), 4, (1889, 562), 2, 'hsl(237, 100%, 30%)')
(('también por la negativa', 0.13720662085544114), 4, (1857, 675), None, 'hsl(237, 100%, 30%)')
(('honor a la verdad', 0.1366222223781666), 4, (2125, 832), 2, 'hsl(237, 100%, 30%)')
(('contraloria general de la', 0.13602472088249468), 4, (1989, 848), 2, 'hsl(237, 100%, 30%)')
(('por entero a la', 0.13493188445592449), 4, (2053, 782), None, 'hsl(238, 100%, 30%)')
(('de la segunda república', 0.13357462932452799), 4, (1997, 854), 2, 'hsl(238, 100%, 30%)')
(('debido a la gran', 0.13175461474414263), 4, (2009, 863), 2, 'hsl(238, 100%, 30%)')
(('se indican a continuación', 0.13170805964706145), 4, (1923, 667), 2, 'hsl(238, 100%, 30%)')
(('universidad nacional de tucumán', 0.1316782416550088), 4, (1996, 557), None, 'hsl(238, 100%, 30%)')
(('es idéntica a la', 0.13151475496238807), 4, (2075, 680), None, 'hsl(238, 100%, 30%)')
(('a la ciudad y', 0.13117829685762331), 4, (2223, 720), 2, 'hsl(238, 100%, 30%)')
(('que nos obliga a', 0.13020055385747861), 4, (2012, 681), None, 'hsl(238, 100%, 30%)')
(('a la región de', 0.13006249844935117), 4, (1924, 533), 2, 'hsl(238, 100%, 30%)')
(('a la naturaleza y', 0.12912819231422315), 4, (2099, 656), None, 'hsl(238, 100%, 30%)')
(('que da origen a', 0.12853829662677432), 4, (2000, 554), None, 'hsl(238, 100%, 30%)')
(('de sol a sol', 0.12822684719435251), 4, (2136, 837), 2, 'hsl(238, 100%, 30%)')
(('la dirección de educación', 0.12778511141225812), 4, (2143, 807), 2, 'hsl(238, 100%, 30%)')
(('el derecho del trabajo', 0.12752087350919319), 4, (1961, 543), 2, 'hsl(238, 100%, 30%)')
(('de nuevo a los', 0.12698049273008941), 4, (1989, 748), None, 'hsl(238, 100%, 30%)')
(('su aplicación a la', 0.12639384517424621), 4, (2076, 609), 2, 'hsl(238, 100%, 30%)')
(('de la unión panamericana', 1.0), 22, (1777, 465), None, 'hsl(179, 100%, 30%)')
(('el ministerio de educación', 0.9398871001027338), 21, (1507, 549), 2, 'hsl(184, 100%, 30%)')
(('contraloría general de la', 0.83195877030515686), 20, (1535, 605), 2, 'hsl(191, 100%, 30%)')
(('haya de la torre', 0.79739834551541733), 20, (1803, 504), None, 'hsl(194, 100%, 30%)')
(('la oficina sanitaria panamericana', 0.52984622116080204), 17, (1506, 573), 2, 'hsl(212, 100%, 30%)')
(('organización internacional del trabajo', 0.51611987668671022), 11, (1824, 478), None, 'hsl(213, 100%, 30%)')
(('ministerio de trabajo y', 0.50904753388196655), 11, (1607, 497), 2, 'hsl(214, 100%, 30%)')
(('la ley federal del', 0.44785816324449912), 10, (1571, 634), 2, 'hsl(218, 100%, 30%)')
(('miembros de la organización', 0.3982986815349035), 9, (1510, 426), None, 'hsl(222, 100%, 30%)')
(('el ministro de educación', 0.35902669113946628), 9, (1851, 519), None, 'hsl(224, 100%, 30%)')
(('de la oficina sanitaria', 0.35805119869208341), 9, (1608, 530), 2, 'hsl(224, 100%, 30%)')
(('por el instituto nacional', 0.31881026356119641), 9, (1660, 454), 2, 'hsl(227, 100%, 30%)')
(('forma más o menos', 0.31366594439460488), 9, (1580, 647), 2, 'hsl(228, 100%, 30%)')
(('caja de crédito agrario', 0.30768277641702957), 9, (1523, 445), None, 'hsl(228, 100%, 30%)')
(('de la cultura occidental', 0.29980899864440969), 9, (1609, 470), 2, 'hsl(228, 100%, 30%)')
(('dado en bogotá a', 0.28723627584714201), 9, (1707, 627), None, 'hsl(229, 100%, 30%)')
(('la producción de leche', 0.2862614655566465), 9, (1592, 508), 2, 'hsl(229, 100%, 30%)')
(('estuvo a cargo del', 0.28481348900147585), 9, (1679, 586), 2, 'hsl(230, 100%, 30%)')
(('de los seguros sociales', 0.27352850734991824), 9, (1542, 591), 2, 'hsl(230, 100%, 30%)')
(('la comisión interamericana de', 0.27337927150950003), 9, (1762, 604), None, 'hsl(230, 100%, 30%)')
(('la corte internacional de', 0.27072335580234197), 9, (1859, 504), None, 'hsl(231, 100%, 30%)')
(('corte internacional de justicia', 0.26996376920620724), 9, (1617, 479), 2, 'hsl(231, 100%, 30%)')
(('de la junta militar', 0.26688093780282696), 9, (1737, 627), None, 'hsl(231, 100%, 30%)')
(('universidad de santo domingo', 0.26564015434097027), 9, (1567, 661), 2, 'hsl(231, 100%, 30%)')
(('los medios de pago', 0.26323166793461489), 9, (1544, 452), None, 'hsl(231, 100%, 30%)')
(('de la común de', 0.26001995306648706), 9, (1575, 435), 2, 'hsl(231, 100%, 30%)')
(('viene a ser la', 0.25491732535346795), 9, (1519, 587), None, 'hsl(232, 100%, 30%)')
(('en colaboración con la', 0.24774630095413241), 9, (1592, 673), 2, 'hsl(232, 100%, 30%)')
(('la universidad de concepción', 0.2476800771671642), 9, (1554, 423), None, 'hsl(232, 100%, 30%)')
(('que llevó a cabo', 0.2446366835837846), 9, (1570, 465), None, 'hsl(232, 100%, 30%)')
(('universidad nacional de méxico', 0.24279737585004699), 9, (1579, 518), 2, 'hsl(232, 100%, 30%)')
(('junta militar de gobierno', 0.24245462938991644), 9, (1591, 682), 2, 'hsl(233, 100%, 30%)')
(('mill e quinientos e', 0.24122938963966986), 9, (1834, 547), None, 'hsl(233, 100%, 30%)')
(('se refirió a la', 0.23644781848202057), 9, (1697, 534), 2, 'hsl(233, 100%, 30%)')
(('de ortega y gasset', 0.23543376887845949), 9, (1505, 674), 2, 'hsl(233, 100%, 30%)')
